12Z 15 03 2017,0.00,6.09
00Z 16 03 2017,0.00,5.90
12Z 16 03 2017,0.00,8.15
00Z 17 03 2017,0.00,9.10
12Z 17 03 2017,0.00,8.36
00Z 18 03 2017,0.00,8.47
12Z 18 03 2017,0.00,8.86
00Z 19 03 2017,12.30,11.36
12Z 19 03 2017,0.00,9.88
00Z 20 03 2017,0.00,9.72
12Z 20 03 2017,0.00,9.65
00Z 21 03 2017,3.16,8.76
12Z 21 03 2017,0.00,8.04
00Z 22 03 2017,0.00,11.32
12Z 22 03 2017,0.00,12.96
00Z 23 03 2017,0.00,10.04
12Z 23 03 2017,0.00,9.52
00Z 24 03 2017,0.00,4.47
12Z 24 03 2017,0.00,6.22
00Z 25 03 2017,0.00,11.24
12Z 25 03 2017,0.32,10.43
00Z 26 03 2017,0.66,5.40
12Z 26 03 2017,0.00,5.90
00Z 27 03 2017,0.00,9.39
12Z 27 03 2017,0.00,9.61
00Z 28 03 2017,6.18,6.10
12Z 28 03 2017,0.00,4.85
00Z 29 03 2017,0.00,6.76
12Z 29 03 2017,0.00,8.94
00Z 30 03 2017,0.00,12.99
12Z 30 03 2017,16.14,14.89
00Z 31 03 2017,0.93,7.09
12Z 31 03 2017,0.00,8.67
00Z 01 04 2017,0.00,9.21
12Z 01 04 2017,0.00,7.53
00Z 02 04 2017,0.00,7.89
12Z 02 04 2017,0.00,11.37
00Z 03 04 2017,9.04,5.24
12Z 03 04 2017,0.00,4.27
00Z 04 04 2017,0.00,2.22
12Z 04 04 2017,0.00,2.58
00Z 05 04 2017,0.00,5.47
12Z 05 04 2017,0.00,9.94
00Z 06 04 2017,0.00,7.61
12Z 06 04 2017,0.00,7.97
00Z 07 04 2017,0.00,8.95
12Z 07 04 2017,0.00,10.73
00Z 08 04 2017,0.00,13.70
12Z 08 04 2017,48.86,9.07
00Z 09 04 2017,25.20,5.94
12Z 09 04 2017,0.00,3.66
00Z 10 04 2017,0.00,4.37
12Z 10 04 2017,0.00,4.37
00Z 11 04 2017,0.00,4.61
12Z 11 04 2017,0.00,6.71
00Z 12 04 2017,0.00,8.48
12Z 12 04 2017,0.00,8.44
00Z 13 04 2017,0.00,8.80
12Z 13 04 2017,0.00,5.66
00Z 14 04 2017,0.00,8.88
