06 07 2017,159.73,12.72
07 07 2017,421.20,17.79
08 07 2017,379.04,15.96
09 07 2017,429.06,18.55
10 07 2017,73.98,19.11
11 07 2017,0.00,10.38
12 07 2017,0.00,7.54
13 07 2017,46.50,11.00
14 07 2017,38.52,17.07
15 07 2017,663.17,18.24
16 07 2017,374.31,16.24
17 07 2017,59.48,18.31
18 07 2017,0.00,10.50
19 07 2017,0.00,11.30
20 07 2017,0.00,11.51
21 07 2017,0.00,13.12
22 07 2017,0.00,10.91
23 07 2017,275.40,13.64
24 07 2017,459.79,16.93
25 07 2017,229.89,20.57
26 07 2017,314.50,20.41
27 07 2017,342.11,18.14
28 07 2017,0.00,13.58
29 07 2017,311.51,14.15
30 07 2017,565.20,13.37
31 07 2017,172.72,17.03
01 08 2017,107.26,13.77
02 08 2017,44.33,11.29
03 08 2017,182.65,15.26
04 08 2017,105.44,17.27
05 08 2017,118.77,11.93
06 08 2017,0.00,10.49
07 08 2017,0.00,17.10
08 08 2017,349.48,21.53
09 08 2017,187.36,16.42
10 08 2017,132.30,13.19
11 08 2017,399.46,15.15
12 08 2017,235.77,11.98
13 08 2017,58.01,12.70
14 08 2017,40.70,15.31
15 08 2017,129.74,21.71
16 08 2017,9.61,11.40
17 08 2017,70.69,18.24
18 08 2017,0.00,10.71
19 08 2017,0.00,8.98
20 08 2017,429.30,14.59
21 08 2017,94.84,14.08
22 08 2017,79.64,12.93
23 08 2017,313.64,23.52
24 08 2017,586.24,16.90
25 08 2017,95.39,14.02
26 08 2017,76.78,12.76
27 08 2017,172.74,15.05
28 08 2017,171.51,16.50
29 08 2017,393.23,18.26
30 08 2017,337.30,17.06
31 08 2017,17.84,24.33
01 09 2017,30.93,14.62
02 09 2017,0.00,12.25
03 09 2017,0.00,8.99
04 09 2017,83.24,10.35
05 09 2017,221.40,12.31
06 09 2017,150.25,12.75
07 09 2017,203.26,12.79
08 09 2017,220.80,17.04
09 09 2017,18.67,23.97
10 09 2017,0.49,18.29
11 09 2017,0.00,14.38
12 09 2017,135.14,16.18
13 09 2017,229.22,15.82
14 09 2017,232.23,14.19
15 09 2017,0.00,14.15
16 09 2017,0.00,6.59
17 09 2017,0.00,4.05
18 09 2017,0.00,7.70
19 09 2017,0.00,13.15
21 09 2017,0.00,15.00
22 09 2017,0.00,9.91
23 09 2017,0.00,7.60
24 09 2017,30.07,7.53
25 09 2017,17.18,6.52
26 09 2017,0.00,8.67
27 09 2017,0.00,7.51
28 09 2017,0.00,6.88
29 09 2017,0.00,5.18
30 09 2017,0.00,6.96
01 10 2017,55.90,11.00
02 10 2017,6.02,5.81
04 10 2017,0.00,7.89
05 10 2017,0.00,7.23
06 10 2017,0.11,8.42
07 10 2017,0.00,7.21
08 10 2017,0.00,9.02
09 10 2017,0.00,4.94
10 10 2017,0.00,4.45
11 10 2017,0.00,4.86
12 10 2017,0.00,5.15
13 10 2017,0.00,2.83
14 10 2017,0.00,4.65
15 10 2017,0.00,3.27
16 10 2017,0.00,2.72
17 10 2017,0.00,4.22
18 10 2017,0.00,6.03
19 10 2017,0.00,3.94
20 10 2017,0.00,6.90
21 10 2017,0.00,6.44
22 10 2017,0.00,14.69
23 10 2017,0.00,14.91
24 10 2017,0.00,9.83
